source_id,reading_date,temperature_max,temperature_min,humidity_max,humidity_min,ambient_light_max,ambient_light_min,uvi_max,uvi_min,total_rainfall,soil_moisture_max,soil_moisture_min,soil_temperature_max,soil_temperature_min,soil_conductivity_max,soil_conductivity_min,soil_ph_max,soil_ph_min,leaf_temperature_max,leaf_temperature_min,leaf_humidity_max,leaf_humidity_min
4,"2025-02-01",34.01,12.63,88.95,33.07,46755.43,0.15,,,,48.53,46.12,20.9,17.82,225.5,197,5.2,4.8,,,,
4,"2025-02-02",35.47,12.46,88.58,31.61,55986.42,0.15,,,,48.37,46.1,20.7,18.12,229,198,5.2,4.7,,,,
4,"2025-02-03",35.28,12.26,80.32,30.4,52330.56,0.07,,,,48.47,46.07,20.78,17.73,225.6,197.67,5.2,4.46,,,,
4,"2025-02-04",36.28,12.57,72.69,26.85,52900.25,0.12,,,,48.33,45.92,21.5,17.92,228.17,197.83,5.1,4.75,,,,
4,"2025-02-05",36.44,12.39,65.33,22.44,52613.78,0.15,,,,48.4,45.88,21.5,17.9,229,197.8,5.1,4.26,,,,
4,"2025-02-06",35.78,11.7,68.44,23.25,52298.5,0.1,,,,48.2,44,21.4,17.8,231.67,198.83,5.3,4.73,,,,
4,"2025-02-07",36.53,12.19,68.47,30.96,48410.03,0,,,,46.85,44,21.6,18.1,234.67,194.67,5.3,4.9,,,,
4,"2025-02-08",36.12,12.86,78.48,23.31,53680.75,0,,,,46.27,44.4,21.7,18.75,226.67,197.17,5.2,5,,,,
4,"2025-02-09",37.87,11.95,86.58,23.3,53764.15,0,,,,46.33,44.25,22.6,18.5,227.83,196.83,5.3,4.95,,,,
4,"2025-02-10",37.02,14.36,70.45,27.86,50509.62,0,,,,46.17,44.23,22.4,19.35,228.67,197.5,5.37,5.08,,,,
4,"2025-02-11",35.96,14.31,70.84,24.65,52664.2,0,,,,46.25,44.33,22.6,18.8,220.83,196,5.4,5.07,,,,
4,"2025-02-12",35.84,12.69,66.87,27.05,48256.75,0,,,,46.53,44.35,22.6,18.88,224.33,196,5.4,5.1,,,,
4,"2025-02-13",36.56,12.93,81.38,29.76,52056.52,0,,,,46.2,44.38,22.7,19.33,227.17,196.86,5.4,5.1,,,,
4,"2025-02-14",36.92,12.77,72.96,25.95,51194.55,0.03,,,,46.15,44.4,22.48,18.97,224.67,196.83,5.33,5,,,,
4,"2025-02-15",34.88,12.82,82.8,29.37,44624.55,0.12,,,,46.5,44.48,21.8,18.92,226.83,196.5,5.3,4.95,,,,
4,"2025-02-16",36.06,12.63,84.46,30.52,51708.8,0.1,,,,46.35,44.7,21.7,18.42,224,195.67,5.3,5,,,,
4,"2025-02-17",37.23,12.42,72.42,23.72,51336.55,0.12,,,,46.3,44.7,22.2,18.62,224.33,196,5.35,4.92,,,,
4,"2025-02-18",36.09,10.7,75.28,19.26,51392.6,0.15,,,,46.48,44.58,22,17.87,220.5,195,5.4,4.9,,,,
4,"2025-02-19",35.83,11.31,66.49,18.14,51307.88,0.15,,,,46.32,44.6,22.13,17.85,230.17,194.33,5.48,4.75,,,,
4,"2025-02-20",36.69,11.21,58.98,20,50168.6,0.07,,,,46.33,44.52,22.4,17.8,219,194,5.53,5,,,,
4,"2025-02-21",36.7,11.69,60.98,21.21,51420.53,0,,,,46.23,44.52,22.4,18.3,222.83,195,5.5,5.2,,,,
4,"2025-02-22",35.31,12.09,56.42,21.34,52056.75,0.15,,,,46.25,44.48,22.6,18.32,226.83,195.83,5.5,5.1,,,,
4,"2025-02-23",35.62,10.66,63.36,21.82,52305.95,0.12,,,,46.28,44.4,22.87,18.22,229.33,195.67,5.6,5.2,,,,
4,"2025-02-24",35.93,11.7,73.91,25.61,46704.88,0.15,,,,46.23,44.4,22.77,18.5,231.17,196,5.6,5.04,,,,
4,"2025-02-25",34.88,11.97,74.83,24.25,47139.9,0.15,,,,46.23,44.45,22.53,18.53,238.17,197.67,5.6,5.2,,,,
4,"2025-02-26",34.5,12.87,66.02,28.15,45036.35,0.15,,,,46.45,44.43,21.9,18.4,233.33,198,5.6,5.23,,,,
4,"2025-02-27",36.18,11.47,65.08,22.48,52101.88,0.12,,,,46.45,44.5,22.28,17.65,243,196.83,5.7,5.3,,,,
4,"2025-02-28",16,16,53.17,53.17,0.15,0.15,,,,44.55,44.55,21.32,21.32,221.17,221.17,5.5,5.5,,,,
