source_id,reading_date,temperature_max,temperature_min,humidity_max,humidity_min,ambient_light_max,ambient_light_min,uvi_max,uvi_min,total_rainfall,soil_moisture_max,soil_moisture_min,soil_temperature_max,soil_temperature_min,soil_conductivity_max,soil_conductivity_min,soil_ph_max,soil_ph_min,leaf_temperature_max,leaf_temperature_min,leaf_humidity_max,leaf_humidity_min
28,"2026-02-01",37.04,14.38,97.45,37.62,23905.43,0.15,,,,52.65,47.3,66.65,65.7,174.67,134.67,5.78,5.6,,,,
28,"2026-02-02",36.54,13.57,99.45,38.7,24600.32,0.15,,,,51.35,46.95,66.7,65.68,169.17,116.5,5.78,5.6,,,,
28,"2026-02-03",37.9,12.66,98.47,36.47,24707.18,0.15,,,,51.18,47.47,66.78,65.65,184.17,153.33,5.8,5.6,,,,
28,"2026-02-04",38.08,14.37,99.64,35.38,24498.2,0.15,,,,51.25,44.42,66.82,65.83,183.17,170.33,5.72,5.6,,,,
28,"2026-02-05",36.27,14.99,98.41,40.11,26393.65,0.15,,,,46.93,42.82,66.8,65.97,190.67,166.5,5.78,5.15,,,,
28,"2026-02-06",37.53,14.33,99.65,39.02,23930.8,0.15,,,,46.65,44.18,66.83,65.88,201,180.67,5.8,5.62,,,,
28,"2026-02-07",39.42,16.39,97.16,37.29,24138.88,0.15,,,,46.97,44.23,67,66.02,220,188.33,5.8,5.62,,,,
28,"2026-02-08",39.72,17.89,99.92,40.56,32007.85,0.15,,,,47.4,44.15,67.1,66.2,193.17,180.5,5.85,5.3,,,,
28,"2026-02-09",37.33,16.5,99.6,36.9,30808.48,0.15,,,,48.42,44.95,67.08,66.17,178.33,162.33,5.98,5.67,,,,
28,"2026-02-10",37.4,13.37,95.71,35.91,30774.63,0.15,,,,47.4,44.58,66.95,65.9,180.83,158.33,5.87,5.6,,,,
28,"2026-02-11",37.76,11.38,95.91,37.67,29966,0.15,,,,47.88,44.05,66.78,65.9,188.67,170.83,5.8,5.55,,,,
28,"2026-02-12",39.43,11.22,96.1,34.51,30718.8,0.15,,,,47.77,40.6,66.78,65.9,199.5,179.5,5.8,5.47,,,,
28,"2026-02-13",39.61,11.47,99.37,35.17,31230.6,0.15,,,,43.92,40.53,66.82,65.85,276.83,194.83,5.9,5.12,,,,
28,"2026-02-14",39.66,13.32,97.09,39.62,32979.7,0.15,,,,43.48,41.77,66.93,65.88,345.33,271.5,5.8,5.6,,,,
28,"2026-02-15",38.46,16.31,98.55,41.08,33278.15,0.15,,,,44.28,42.28,66.98,66.12,372,329.6,5.8,5.4,,,,
28,"2026-02-16",39.57,14.99,100,46.4,35425.65,0.15,,,,45.25,43.92,67,65.98,406.17,356.33,5.8,5.5,,,,
28,"2026-02-17",38.08,15.51,100,46.93,32695.32,0.15,,,,45.32,44.48,66.9,65.98,426.33,394,5.8,5.5,,,,
28,"2026-02-18",35.71,15.4,100,47.38,31984.55,0.15,,,,45.75,45.13,66.92,65.93,450.17,411.83,5.8,5.2,,,,
28,"2026-02-19",38.57,16.51,100,42.46,33098.02,0.15,,,,46.1,45.5,67.08,66.1,473.17,436,5.8,5.6,,,,
28,"2026-02-20",39.04,15.55,100,43.31,31088.82,0.15,,,,46.9,45.9,67.02,66.1,486.67,461,5.7,5.6,,,,
28,"2026-02-21",35.21,17.12,100,54.81,26554.25,0.15,,,,49.52,46.77,66.62,66.12,498.67,477.83,5.77,5.3,,,,
28,"2026-02-22",37.9,16.96,100,49.61,37056.27,0.15,,,,51.5,47.33,66.88,66.05,620.17,484.67,5.78,5.6,,,,
28,"2026-02-23",34.43,16.63,100,51.32,40932.45,0.15,,,,50.27,45.55,66.7,66,635.67,443.33,5.82,5.7,,,,
28,"2026-02-24",16.85,16.85,99.84,99.84,0.15,0.15,,,,45.47,45.47,66.13,66.13,441.17,441.17,5.8,5.8,,,,
